rank,year,airport,code (iata/icao),location,country,total passengers,address,latitude,longitude,lat lng
1,2016,Hartsfield Jackson Atlanta International Airport,ATL/KATL,"Atlanta, Georgia",United States,104171935,"Hartsfield-Jackson Atlanta International Airport (ATL), 6000 N Terminal Pkwy, Atlanta, GA 30320, USA",33.6407282,-84.4277001,"[33.6407282, -84.4277001]"
2,2016,Beijing Capital International Airport,PEK/ZBAA,"Chaoyang-Shunyi, Beijing",China,94393454,"Beijing Capital International Airport (PEK), Shunyi, Beijing Shi, China",40.0798573,116.6031121,"[40.0798573, 116.6031121]"
3,2016,Dubai International Airport,DXB/OMDB,"Garhoud, Dubai",United Arab Emirates,83654250,Dubai International Airport (DXB) - Dubai - United Arab Emirates,25.2531745,55.3656728,"[25.2531745, 55.3656728]"
4,2016,Los Angeles International Airport,LAX/KLAX,"Los Angeles, California",United States,80921527,"Los Angeles International Airport (LAX), 1 World Way, Los Angeles, CA 90045, USA",33.9415889,-118.40853,"[33.9415889, -118.40853]"
5,2016,Tokyo International Airport,HND/RJTT,"Ota, Tokyo",Japan,79699762,"Haneda Airport (HND), Hanedakuko, Ota City, Tokyo 144-0041, Japan",35.5493932,139.7798386,"[35.5493932, 139.7798386]"
6,2016,O'Hare International Airport,ORD/KORD,"Chicago, Illinois",United States,78327479,"O'Hare International Airport (ORD), 10000 W O'Hare Ave, Chicago, IL 60666, USA",41.9741625,-87.9073214,"[41.9741625, -87.9073214]"
7,2016,Heathrow Airport,LHR/EGLL,"Hillingdon, London",United Kingdom,75715474,"Heathrow Airport (LHR), Longford TW6, UK",51.4700223,-0.4542955,"[51.4700223, -0.4542955]"
8,2016,Hong Kong International Airport,HKG/VHHH,"Chek Lap Kok, Hong Kong",China,70314462,"Hong Kong International Airport (HKG), 1 Sky Plaza Rd, Chek Lap Kok, Hong Kong",22.308047,113.9184808,"[22.308047, 113.9184808]"
9,2016,Shanghai Pudong International Airport,PVG/ZSPD,"Pudong, Shanghai",China,66002414,"Shanghai Pudong International Airport (PVG), S1 Yingbin Expy, Pudong Xinqu, Shanghai Shi, China",31.1443439,121.808273,"[31.1443439, 121.808273]"
10,2016,Charles de Gaulle Airport,CDG/LFPG,"Paris (Roissy-en-France), Île-de-France",France,65933145,"Charles de Gaulle Airport (CDG), 95700 Roissy-en-France, France",49.0096906,2.5479245,"[49.0096906, 2.5479245]"
11,2016,Dallas/Fort Worth International Airport,DFW/KDFW,"Dallas-Fort Worth, Texas",United States,65670697,"DFW International Airport (DFW), 2400 Aviation Dr, DFW Airport, TX 75261, USA",32.8998091,-97.0403352,"[32.8998091, -97.0403352]"
12,2016,Amsterdam Airport Schiphol,AMS/EHAM,"Haarlemmermeer, North Holland",The Netherlands,63625534,"Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",52.3105386,4.7682744,"[52.3105386, 4.7682744]"
13,2016,Frankfurt Airport,FRA/EDDF,"Frankfurt, Hesse",Germany,60786937,"Frankfurt Airport (FRA), 60547 Frankfurt am Main, Germany",50.0379326,8.562151799999999,"[50.0379326, 8.562151799999999]"
14,2016,Istanbul Atat rk Airport,IST/LTBA,"Yesilköy, Istanbul",Turkey,60248741,"Yeşilköy, Istanbul Ataturk Airport (ISL), 34149 Bakırköy/İstanbul, Turkey",40.9829888,28.8104425,"[40.9829888, 28.8104425]"
15,2016,Guangzhou Baiyun International Airport,CAN/ZGGG,"Baiyun-Huadu, Guangzhou, Guangdong",China,59732147,"Guangzhou Baiyun International Airport (CAN), Baiyun, Guangzhou Shi, Guangdong Sheng, China",23.3959079,113.3079699,"[23.3959079, 113.3079699]"
16,2016,John F. Kennedy International Airport,JFK/KJFK,"Queens, New York City, New York",United States,58813103,"John F. Kennedy International Airport (JFK), Queens, NY 11430, USA",40.6413111,-73.77813909999999,"[40.6413111, -73.77813909999999]"
17,2016,Singapore Changi Airport,SIN/WSSS,"Changi, Singapore",Singapore,58698000,"Airport Blvd, Changi Airport Singapore (SIN), Singapore",1.3644202,103.9915308,"[1.3644202, 103.9915308]"
