airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,timezone,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
1,Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,-6.0816898345900015,145.391998291,5282,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Goroka Airport,ChIJqRpEB5JzWGgR5O6l4IZXgMs,"Goroka Airport (GKA), Highlands Hwy, Goroka 441, Papua New Guinea",3.7,29,not found
2,Madang Airport,Madang,Papua New Guinea,MAG,AYMD,-5.20707988739,145.789001465,20,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Madang Airport,ChIJfRweJu7m9WgR6qRSDR7Iql4,"Madang Airport (MAG), Madang 511, Papua New Guinea",2.7,17,not found
3,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,-5.826789855957031,144.29600524902344,5388,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Mount Hagen Airport,ChIJe2D0R4mcWWgRkWzVoaj4iHE,"Mount Hagen Airport, Papua New Guinea",4,27,not found
4,Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,-6.569803,146.725977,239,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Lae Nadzab Airport,ChIJic_XOTvj-WgR4WgkeUxiSko,"Lae Nadzab Airport, 411 Papua New Guinea, Nadzab, Papua New Guinea",3.4,41,not found
5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Jacksons International Airport,ChIJvXvxaxQ3AmkRl5B0QwWq_ck,"Jacksons International Airport, Morea-Tobo Rd, Port Moresby 121, Papua New Guinea",3.4,129,not found
6,Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,-3.5838301181800003,143.66900634799998,19,10.0,U,Pacific/Port_Moresby,airport,OurAirports,Wewak Airport,ChIJd1SEgIweZ2gRyNI7tICFjnA,"Wewak Airport (WWK), Wewak, Papua New Guinea",4.1,25,not found
7,Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,61.1604995728,-45.4259986877,112,-3.0,E,America/Godthab,airport,OurAirports,Narsarsuaq Airport,ChIJZyn1cqXhq04RLBxTGQNRIgE,"Narsarsuaq Airport, Narsarsuaq Greenland, Narsarsuaq, Greenland",3.8,12,http://www.mit.gl/en/todays-flights/airports/narsarsuaq-airport/
8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.67810058590001,283,-3.0,E,America/Godthab,airport,OurAirports,Nuuk International Airport,ChIJVXjA47sNok4Rx7SDO-bE_q0,"Nuuk International Airport, Aqisseqarajooq, Nuuk 3905, Greenland",4.2,131,http://www.mit.gl/en/todays-flights/airports/nuuk-airport/
9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,-3.0,E,America/Godthab,airport,OurAirports,Kangerlussuaq Airport,ChIJ83fMY82slk4Rqpu8RZNvCSQ,"Kangerlussuaq Airport, Søndre Strømfjord, Greenland",4,52,http://mit.gl/
10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001,251,-4.0,E,America/Thule,airport,OurAirports,Greenland,ChIJmQSJRNElNk4RrhAnzkxQ6pM,Greenland,4.3,106,not found
