index,airport_id,name,city,country,IATA,ICAO,latitude,longitude,altitude,DST,Tz_database_time_zone	,type,source,google_airport_name,google_place_id,google_airport_full_address,airport_rating,number_ratings,website
0,5,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,-9.443380355834961,147.22000122070312,146,U,Pacific/Port_Moresby,airport,OurAirports,Jacksons International Airport,ChIJvXvxaxQ3AmkRl5B0QwWq_ck,"Jacksons International Airport, Morea-Tobo Rd, Port Moresby 121, Papua New Guinea",3.4,129,not found
1,8,Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,64.19090271,-51.67810058590001,283,E,America/Godthab,airport,OurAirports,Nuuk International Airport,ChIJVXjA47sNok4Rx7SDO-bE_q0,"Nuuk International Airport, Aqisseqarajooq, Nuuk 3905, Greenland",4.2,131,http://www.mit.gl/en/todays-flights/airports/nuuk-airport/
2,9,Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,67.0122218992,-50.7116031647,165,E,America/Godthab,airport,OurAirports,Kangerlussuaq Airport,ChIJ83fMY82slk4Rqpu8RZNvCSQ,"Kangerlussuaq Airport, Søndre Strømfjord, Greenland",4.0,52,http://mit.gl/
3,10,Thule Air Base,Thule,Greenland,THU,BGTL,76.5311965942,-68.70320129390001,251,E,America/Thule,airport,OurAirports,Greenland,ChIJmQSJRNElNk4RrhAnzkxQ6pM,Greenland,4.3,106,not found
4,16,Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,63.985000610352,-22.605600357055998,171,N,Atlantic/Reykjavik,airport,OurAirports,Keflavik - Airport,ChIJEzIdWv39KUkRlTYaQxU_PYo,"Blikavöllur 2, 235 Keflavik - Airport, Iceland",3.9,398,http://hotelairport.is/
5,33,Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,49.054970224899996,-123.869862556,92,A,America/Vancouver,airport,OurAirports,Nanaimo Airport,ChIJq2sLTqaviFQRX8wG9hoHwJ8,"Nanaimo Airport, 3350 Spitfire Way, Cassidy, BC V0R 1H0, Canada",4.0,53,http://www.nanaimoairport.com/
6,49,Edmonton International Airport,Edmonton,Canada,YEG,CYEG,53.309700012200004,-113.580001831,2373,A,America/Edmonton,airport,OurAirports,Edmonton International Airport,ChIJdbCRdWH3n1MRt4Q97QF2hPk,"Edmonton Int'l Airport (YEG), 1000 Airport Rd, Edmonton International Airport, AB T9E 0V3, Canada",3.9,792,http://flyeia.com/
7,55,Iqaluit Airport,Iqaluit,Canada,YFB,CYFB,63.756402,-68.555801,110,A,America/Toronto,airport,OurAirports,Iqaluit Airport (YFB),ChIJcZUPLV8W000R805RkCdAYtA,"Iqaluit Airport (YFB), 1126 Mivvik Street, Iqaluit, NU X0A 0H0, Canada",4.0,71,not found
8,56,Fredericton Airport,Fredericton,Canada,YFC,CYFC,45.86890029907226,-66.53720092773439,68,A,America/Halifax,airport,OurAirports,YFC,ChIJ99NdFWmepkwRoRISNrFJXV4,"YFC, 22-2570 Route 102 Highway, Lincoln, NB E3B 9G1, Canada",3.5,58,http://www.frederictonairport.ca/
9,61,Kingston Norman Rogers Airport,Kingston,Canada,YGK,CYGK,44.22529983520508,-76.5969009399414,305,A,America/Toronto,airport,OurAirports,Kingston Airport,ChIJK_jfrCOt0kwRNuCfdPc7CiM,"Kingston Airport, 1114 Len Birchall Way, Kingston, ON K7M 9A1, Canada",3.4,52,https://www.cityofkingston.ca/residents/airport
