index,airline,airlineId,srcIata,srcAirportId,dstIata,dstAirport,codeshare,stops,equipment,number_routes
0,3G,595,BCN,1218,BJL,1050,,0,319,1
1,3G,595,LGW,502,FNA,1059,,0,319,1
2,3K,3021,HKG,3077,SIN,3316,,0,320,1
3,3L,2916,MUC,346,EBA,1558,,0,DH3,1
4,3O,9818,BCN,1218,CMN,1074,,0,320,1
5,3O,9818,BCN,1218,NDR,5673,,0,320,1
6,3O,9818,BCN,1218,TNG,1080,,0,320,1
7,3O,9818,LGW,502,CMN,1074,,0,320,1
8,3O,9818,LGW,502,TNG,1080,,0,320,1
9,3U,4608,HKG,3077,CTU,3395,,0,320,1
10,3U,4608,HKG,3077,YIH,6361,,0,320,1
11,3U,4608,HKG,3077,ZHA,6357,,0,319,1
12,3U,4608,ICN,3930,CTU,3395,,0,321,1
13,4H,8463,DXB,2188,DAC,3076,,0,313,1
14,4M,3201,MIA,3576,EZE,3988,,0,777 763,1
15,4M,3201,MIA,3576,PUJ,1760,,0,763,1
16,4O,17885,MIA,3576,MEX,1824,,0,320,1
17,4Q,10758,DXB,2188,KBL,2050,,0,319,1
18,4U,2548,BCN,1218,CGN,344,,0,320 319,1
19,4U,2548,BCN,1218,DUS,345,,0,320 319,1
20,4U,2548,BCN,1218,HAJ,352,,0,319,1
21,4U,2548,BCN,1218,HAM,342,,0,319,1
22,4U,2548,BCN,1218,STR,350,,0,319 320,1
23,4U,2548,MUC,346,DTM,373,,0,319,1
24,5J,1683,DXB,2188,MNL,2397,,0,330,1
25,5J,1683,HKG,3077,CEB,4206,,0,320,1
26,5J,1683,HKG,3077,CRK,4140,,0,319,1
27,5J,1683,HKG,3077,ILO,2429,,0,319,1
28,5J,1683,HKG,3077,MNL,2397,,0,320,1
29,5J,1683,ICN,3930,CEB,4206,,0,320,1
30,5J,1683,ICN,3930,KLO,2430,,0,320,1
31,5J,1683,ICN,3930,MNL,2397,,0,330,1
32,6E,2850,DXB,2188,BOM,2997,,0,320,1
33,6E,2850,DXB,2188,COK,3136,,0,320,1
34,6E,2850,DXB,2188,DEL,3093,,0,320,1
35,6E,2850,DXB,2188,HYD,\N,,0,320,1
36,6E,2850,DXB,2188,MAA,3144,,0,320,1
37,6E,2850,DXB,2188,TRV,3153,,0,320,1
38,7C,2994,HKG,3077,ICN,3930,,0,737,1
39,7C,2994,ICN,3930,BKK,3885,,0,737,1
40,7C,2994,ICN,3930,CEB,4206,,0,737,1
41,7C,2994,ICN,3930,FUK,2305,,0,737,1
42,7C,2994,ICN,3930,GUM,2246,,0,737,1
43,7C,2994,ICN,3930,HKG,3077,,0,737,1
44,7C,2994,ICN,3930,KIX,3992,,0,737,1
45,7C,2994,ICN,3930,MNL,2397,,0,737,1
46,7C,2994,ICN,3930,NGO,3942,,0,737,1
47,7C,2994,ICN,3930,NRT,2279,,0,737,1
48,7C,2994,ICN,3930,TAO,3390,,0,737,1
49,7I,18944,MIA,3576,AUA,2895,,0,M83,1
50,7I,18944,MIA,3576,CUR,2897,,0,M83,1
51,7J,9531,IST,1701,DYU,2979,,0,735,1
52,8B,17408,ICN,3930,BKK,3885,,0,763,1
53,8B,17408,ICN,3930,CNX,3931,,0,763,1
54,8B,17408,ICN,3930,HKT,3179,,0,763,1
55,8I,3534,MIA,3576,AUA,2895,,0,M82,1
56,8M,3432,ICN,3930,RGN,3239,,0,737 767,1
57,8Q,3788,IST,1701,ADA,1685,,0,320,1
58,8Q,3788,IST,1701,ADB,1706,,0,320,1
59,8Q,3788,IST,1701,AYT,1688,,0,320,1
60,8Q,3788,IST,1701,BJV,4315,,0,320,1
61,8Q,3788,IST,1701,CDG,1382,,0,320,1
62,8Q,3788,IST,1701,DIY,1722,,0,320,1
63,8Q,3788,IST,1701,DLM,1715,,0,320,1
64,8Q,3788,IST,1701,ECN,5780,,0,320,1
65,8Q,3788,IST,1701,ERZ,1724,,0,320,1
66,8Q,3788,IST,1701,EZS,1721,,0,320,1
67,8Q,3788,IST,1701,GNY,9044,,0,320,1
68,8Q,3788,IST,1701,GZP,8266,,0,320,1
69,8Q,3788,IST,1701,GZT,1689,,0,320,1
70,8Q,3788,IST,1701,MLX,1692,,0,320,1
71,8Q,3788,IST,1701,ODS,2947,,0,320,1
72,8Q,3788,IST,1701,TZX,1726,,0,320,1
73,8U,32,DXB,2188,TIP,1157,,0,332,1
74,8U,32,IST,1701,BEN,1154,,0,320,1
75,8U,32,IST,1701,MRA,5804,,0,320,1
76,8U,32,IST,1701,TIP,1157,,0,332 319,1
77,9C,15999,HKG,3077,PVG,3406,,0,320,1
78,9U,1073,IST,1701,KIV,1735,,0,320 E90,1
79,9V,20004,MIA,3576,BLA,2821,,0,734,1
80,9W,3000,DXB,2188,BOM,2997,,0,73H,1
81,9W,3000,DXB,2188,DEL,3093,,0,73H,1
82,9W,3000,DXB,2188,IXE,3143,,0,73H,1
83,9W,3000,HKG,3077,BOM,2997,,0,77W,1
84,9W,3000,HKG,3077,DEL,3093,,0,332 77W,1
85,A3,96,BCN,1218,ATH,3941,,0,320 321,1
86,A3,96,IST,1701,ATH,3941,,0,320,1
87,A3,96,MUC,346,ATH,3941,,0,320,1
88,A3,96,MUC,346,HER,1452,,0,320,1
89,A3,96,MUC,346,KLX,1456,,0,319,1
90,A3,96,MUC,346,SKG,1486,,0,320,1
91,AA,24,BCN,1218,JFK,3797,,0,763,1
92,AA,24,BCN,1218,LHR,507,Y,0,320 319 321 767,1
93,AA,24,BCN,1218,MIA,3576,,0,763,1
94,AA,24,BCN,1218,PHL,3752,,0,332,1
95,AA,24,DEN,3751,CLT,3876,,0,321 320,1
96,AA,24,DEN,3751,DFW,3670,,0,738 M83 M80,1
97,AA,24,DEN,3751,LAX,3484,Y,0,CR7,1
98,AA,24,DEN,3751,LHR,507,Y,0,777,1
99,AA,24,DEN,3751,MIA,3576,,0,738,1
100,AA,24,DEN,3751,ORD,3830,,0,M80 M83,1
101,AA,24,DEN,3751,PHL,3752,,0,320 321,1
102,AA,24,DEN,3751,PHX,3462,,0,320 321,1
103,AA,24,DEN,3751,SEA,3577,Y,0,737,1
104,AA,24,DXB,2188,LHR,507,Y,0,744 777,1
105,AA,24,HKG,3077,EWR,3494,Y,0,773,1
106,AA,24,HKG,3077,JFK,3797,Y,0,773,1
107,AA,24,HKG,3077,LAX,3484,Y,0,773,1
108,AA,24,HKG,3077,NRT,2279,,0,763,1
109,AA,24,HKG,3077,ORD,3830,Y,0,773,1
110,AA,24,HKG,3077,SFO,3469,Y,0,773 744,1
111,AA,24,ICN,3930,DFW,3670,,0,777,1
112,AA,24,ICN,3930,NRT,2279,,0,737,1
113,AA,24,IST,1701,LHR,507,Y,0,320,1
114,AA,24,LGW,502,LAS,3877,Y,0,777,1
115,AA,24,LGW,502,MCO,3878,Y,0,777,1
116,AA,24,LGW,502,TPA,3646,Y,0,777,1
117,AA,24,MIA,3576,ANU,2874,,0,738,1
118,AA,24,MIA,3576,ASU,2699,,0,757,1
119,AA,24,MIA,3576,ATL,3682,,0,738,1
120,AA,24,MIA,3576,AUA,2895,,0,738,1
121,AA,24,MIA,3576,BCN,1218,,0,763,1
122,AA,24,MIA,3576,BDA,4069,,0,738,1
123,AA,24,MIA,3576,BDL,3825,,0,738,1
124,AA,24,MIA,3576,BGI,2875,,0,757,1
125,AA,24,MIA,3576,BHM,3811,Y,0,ER4,1
126,AA,24,MIA,3576,BNA,3690,,0,738,1
127,AA,24,MIA,3576,BOG,2709,,0,763 757,1
128,AA,24,MIA,3576,BOS,3448,,0,757 738,1
129,AA,24,MIA,3576,BSB,2531,,0,763 757,1
130,AA,24,MIA,3576,BWI,3849,,0,738,1
131,AA,24,MIA,3576,BZE,1957,,0,738,1
132,AA,24,MIA,3576,CCS,2851,,0,757 763 738,1
133,AA,24,MIA,3576,CDG,1382,,0,763,1
134,AA,24,MIA,3576,CHS,3806,Y,0,ER4,1
135,AA,24,MIA,3576,CLE,3486,Y,0,ER4,1
136,AA,24,MIA,3576,CLO,2715,,0,738,1
137,AA,24,MIA,3576,CLT,3876,,0,319 321 320 737,1
138,AA,24,MIA,3576,CMH,3759,Y,0,ER4,1
139,AA,24,MIA,3576,CNF,2537,,0,763,1
140,AA,24,MIA,3576,CUN,1852,,0,738 757,1
141,AA,24,MIA,3576,CUR,2897,,0,738,1
142,AA,24,MIA,3576,CVG,3488,Y,0,ER4,1
143,AA,24,MIA,3576,CWB,2545,,0,763,1
144,AA,24,MIA,3576,CZM,1800,,0,738,1
145,AA,24,MIA,3576,DCA,3520,,0,738,1
146,AA,24,MIA,3576,DEN,3751,,0,738,1
147,AA,24,MIA,3576,DFW,3670,,0,738 757,1
148,AA,24,MIA,3576,DTW,3645,,0,738,1
149,AA,24,MIA,3576,DUS,345,Y,0,330,1
150,AA,24,MIA,3576,ELH,1943,Y,0,ER4,1
151,AA,24,MIA,3576,EWR,3494,,0,738 757,1
152,AA,24,MIA,3576,EYW,3875,Y,0,ERD,1
153,AA,24,MIA,3576,EZE,3988,,0,777,1
154,AA,24,MIA,3576,FDF,2878,,0,738,1
155,AA,24,MIA,3576,FPO,1948,Y,0,ER4 ERD,1
156,AA,24,MIA,3576,GCM,1926,,0,738,1
157,AA,24,MIA,3576,GGT,1941,Y,0,ER4,1
158,AA,24,MIA,3576,GIG,2560,,0,763,1
159,AA,24,MIA,3576,GND,2882,,0,738,1
160,AA,24,MIA,3576,GNV,3472,Y,0,ER4,1
161,AA,24,MIA,3576,GRU,2564,,0,773 777,1
162,AA,24,MIA,3576,GSO,4008,Y,0,ER4,1
163,AA,24,MIA,3576,GUA,1767,,0,738,1
164,AA,24,MIA,3576,GYE,2673,,0,738 763 757,1
165,AA,24,MIA,3576,IAD,3714,,0,738,1
166,AA,24,MIA,3576,IAH,3550,,0,738,1
167,AA,24,MIA,3576,IND,3585,Y,0,ER4,1
168,AA,24,MIA,3576,JAX,3712,Y,0,ER4 ERD,1
169,AA,24,MIA,3576,JFK,3797,,0,763 757 738,1
170,AA,24,MIA,3576,KIN,1779,,0,738,1
171,AA,24,MIA,3576,LAS,3877,,0,738 757,1
172,AA,24,MIA,3576,LAX,3484,,0,777 763 757 738,1
173,AA,24,MIA,3576,LGA,3697,,0,738,1
174,AA,24,MIA,3576,LHR,507,,0,77W 777,1
175,AA,24,MIA,3576,LIM,2789,,0,763 757,1
176,AA,24,MIA,3576,LIR,1881,,0,738,1
177,AA,24,MIA,3576,LPB,2762,,0,757,1
178,AA,24,MIA,3576,LRM,1759,Y,0,ER4,1
179,AA,24,MIA,3576,MAD,1229,,0,330 763 340,1
180,AA,24,MIA,3576,MAO,2551,,0,763 738,1
181,AA,24,MIA,3576,MAR,2848,,0,757,1
182,AA,24,MIA,3576,MBJ,1780,,0,738 757,1
183,AA,24,MIA,3576,MCO,3878,,0,757 738,1
184,AA,24,MIA,3576,MDE,2745,,0,738,1
185,AA,24,MIA,3576,MEM,3473,Y,0,ER4,1
186,AA,24,MIA,3576,MEX,1824,,0,738,1
187,AA,24,MIA,3576,MGA,1863,,0,738,1
188,AA,24,MIA,3576,MHH,1930,Y,0,ERD,1
189,AA,24,MIA,3576,MSP,3858,,0,738,1
190,AA,24,MIA,3576,MSY,3861,,0,738,1
191,AA,24,MIA,3576,MVD,2816,,0,763,1
192,AA,24,MIA,3576,MXP,1524,,0,763,1
193,AA,24,MIA,3576,NAS,1953,Y,0,ER4 ERD,1
194,AA,24,MIA,3576,ORD,3830,,0,738 763,1
195,AA,24,MIA,3576,ORF,3611,Y,0,ER4,1
196,AA,24,MIA,3576,PAP,1897,,0,738 763 757,1
197,AA,24,MIA,3576,PHL,3752,,0,320 738 321 757,1
198,AA,24,MIA,3576,PHX,3462,,0,738,1
199,AA,24,MIA,3576,PIT,3570,Y,0,ER4,1
200,AA,24,MIA,3576,PLS,1754,,0,757,1
